;n;MoE
100;167;0.05795078893715695
103;47;0.13445533886225156
104;167;0.05795078893715695
114;120;0.07494247306438351
117;167;0.05795078893715695
118;47;0.13445533886225156
120;167;0.05795078893715695
122;155;0.0616817690557159
123;167;0.05795078893715695
133;167;0.05795078893715695
150;165;0.0585506319509936
151;164;0.05885369107676261
152;163;0.05915888753868125
153;165;0.0585506319509936
183;166;0.05824967579738922
214;118;0.07584434033432773
226;47;0.13445533886225156
226a;120;0.07494247306438351
226b;120;0.07494247306438351
242;132;0.06990690247243689
254;159;0.06040175911002932
304;47;0.13445533886225156
305;47;0.13445533886225156
306;164;0.05885369107676261
326;167;0.05795078893715695
335;25;0.19001384991072293
403;119;0.07539096583555727
404;120;0.07494247306438351
411;120;0.07494247306438351
426;120;0.07494247306438351
431;119;0.07539096583555727
