;shapiro;kolmogorov;K2
100;1.2180213922510325e-06;0.0;0.20103427776536542
103;0.007844143242815379;2.6617993028738107e-135;0.10838972724156923
104;5.12722482880558e-06;0.0;0.7291869779545888
114;3.6947323436477533e-06;2.945868117894731e-265;0.0037701086416516228
117;4.767915175316396e-08;0.0;0.009673744394712027
118;0.1133839853575217;9.2905459944376e-78;0.807119775143595
120;1.0565109878636442e-06;5.1215e-320;0.0005548663114697579
122;4.771472282663083e-05;0.0;0.621986586335812
123;4.4846718184220696e-05;0.0;0.9174869031895805
133;8.463704887328703e-06;4.7423817750870584e-291;0.21526980453518257
150;1.311056209748569e-06;0.0;0.006450704391514253
151;3.532170733732757e-05;1.22264550486e-313;0.1688199489166402
152;8.251810958405257e-09;5.914711435689074e-283;5.301029371474701e-06
153;9.407080005113647e-07;1.341229892847486e-254;1.3450080712485559e-05
183;7.348081151340541e-10;2.455580551584e-311;3.766916403073326e-07
214;5.8598223333238803e-08;0.0;0.16148706931327753
226;0.02950576310398607;2.6617993028738107e-135;0.6263950251512282
226a;5.55602993327303e-05;2.945868117894731e-265;0.005472246406650405
226b;8.334398560122751e-05;2.945868117894731e-265;0.07581078559503887
242;2.600029402393999e-07;0.0;0.04714953036257915
254;5.948989257978817e-06;0.0;0.03991601549892313
304;0.018887510150605618;2.6617993028738107e-135;0.5597134402717961
305;0.006813952593836339;3.4216695017569697e-171;0.16646690679252538
306;4.201537030538195e-08;0.0;0.02279467576004686
326;1.6624081107721465e-06;0.0;0.04793778795799761
335;1.4346347929172435e-05;5.431104855589986e-164;0.36617595689180515
403;4.6624878450994264e-05;4.744004649761894e-263;0.10881206134060603
404;4.7096899197155555e-05;2.945868117894731e-265;0.0039407258435297885
411;0.0008456679544740194;6.599418728020718e-221;0.09899308795333299
426;3.715716390441164e-06;2.945868117894731e-265;0.006933844945471065
431;1.1661196531418003e-06;0.0;0.010682493886981701
