;D;F;E;M;RW;WR;GuP;TU;IDAF
100;0.24955490548084014;0.23424455100016042;0.16688815270802665;0.2760985344155241;0.2440147266801535;0.25349905795612965;0.20252265398045463;0.16065220912739647;0.3669622290682369
103;0.3934505203006279;0.016152862815618677;0.29891528471750023;0.4108144555546547;0.42372196590244354;0.1574247751777626;0.2820342333440786;0.3657402838264207;
104;0.23100921648423264;0.10866213371090974;0.11917257102785166;0.4051171617324774;0.41665481332050686;0.2724729028504896;0.19070550455849264;0.2647758342350535;0.421754300558871
114;0.19921114214238345;0.0016966610480945224;0.07898089340289219;0.4133746305508368;0.1912819582827691;0.3068591934439067;0.20591054154624402;0.20989337631446034;0.4095512750940027
117;0.15920222106386506;0.17394364991539915;0.11421947170674389;0.30596347017538683;0.3621512433032653;0.21202834956530145;0.26904505702018355;0.23167443287546413;0.24268722075776838
118;0.2306434838323338;0.06616257234790807;0.08575036039499209;0.49873889520930814;0.3761992269010216;0.17203768739460298;0.2907033105794869;0.2573638167957823;
120;0.22455888068759555;0.12965954238650168;0.2548584201001705;0.3604123095109008;0.3069220263518997;0.25832085257386955;0.22275223106623676;0.3053877360717875;0.511770056765636
122;0.21578882013620243;0.20637277234025;0.2164191555800051;0.32753726557383;0.44974543657626814;0.4197233002394323;0.17143764210665602;0.2502465652627605;0.5096607964984377
123;0.25480694425857275;0.31472171029930057;0.12494457907948758;0.2116900494482765;0.3803196095157207;0.3656370886440647;0.17777317291891803;0.22910853135679768;0.4882483514136586
133;0.3299742180333318;0.1653566292845371;0.3068734671777291;0.32125488043773476;0.34936052191285927;0.25585181890457276;0.1421616592843988;0.30386607901874985;0.46499585232212454
150;0.31178359215443546;0.14253053842498167;0.17860113640529798;0.20480864466529;0.2708486826061747;0.3117962292823047;0.18594968765522382;0.19949374851871424;0.389179473834677
151;0.29518762581696345;0.21445166775950522;0.19958626530030793;0.4037742220379419;0.39597755972532195;0.2459373676380474;0.1760114862930172;0.3108741020293259;0.47987466079174096
152;0.3384321031542667;0.14105533692276803;0.12214155453056626;0.2299606464321967;0.35717200092515927;0.4473561959688142;0.257332823244671;0.45525188147411105;0.4737870863093395
153;0.3354643681178784;0.19956509968383482;0.1597953451183431;0.3043120805624603;0.4369178605028943;0.37573768513688566;0.260016261841449;0.3144341503127164;0.44091560515911954
183;0.18012429465338695;0.184419762202428;0.1126530821151256;0.24937922585196148;0.2742017994868305;0.3290982939358416;0.17224093314632463;0.28196359545378114;0.32054775664468854
214;0.15990524799801248;0.12508318428597015;0.036947043729500244;0.20899239120780688;0.38588294457703065;0.3296291089877037;0.37491096982046834;0.3873248157858671;0.3550727493157221
226;0.08994805555528196;0.23991437128883578;0.2071461373373022;0.34591955328669716;0.3262024913267506;0.2235477111833346;0.19246792955982273;0.4454663694120072;
226a;0.24117156976069062;0.08285747756095546;0.23978791437635694;0.38510131770292655;0.3105872877907536;0.3256230445243133;0.14890182126388615;0.2969228263074201;0.3335233492535649
226b;0.2439025960040762;0.1375448522016792;0.20119011292779607;0.38142468140778163;0.35968543503546146;0.20236705301486643;0.10636123517052494;0.2176064640923536;0.3748269363258471
242;0.28570017500654177;0.12367444656330666;0.36725856721991695;0.2430613990446668;0.28078275933032354;0.26362185273008976;0.16761406792686562;0.4388460068399292;0.4053967468744952
254;0.23215910395778247;0.14763167277250028;0.2906127007565912;0.2058508694808667;0.40971473769459954;0.21181501578701953;0.1740843836962923;0.3228406556015708;0.44671384074999876
304;0.08879126522659538;0.1757558191344277;0.05622369509061731;0.22907176195795315;0.12625900753256725;0.04458758636931859;0.11530926384540915;0.21903164103712;
305;0.16701344795813158;0.21898487136080877;0.11191141055182538;0.30905923260043733;0.2547086946024205;0.23025810875732994;0.17991120109345907;-0.1189317884051792;
306;0.21970157413956948;0.16357070759415546;0.21013855198356954;0.23153233990675945;0.2962319456776446;0.26703554843013;0.21047375003609586;0.22064440945832756;0.4732771701966804
326;0.3716124301625834;0.23190862188087405;0.13749906070191012;0.2742182184465121;0.3683550766873938;0.3696032498659215;0.20831641803336587;0.3512657029509505;0.32492695937243143
335;0.17417324792889624;0.2940461812220113;0.034660874933235566;0.596350487164547;0.43615953016572045;0.3833353120744094;-0.01597508409905472;0.4167630503521258;
403;0.22921960318617626;0.020989651562808784;0.27881788558780524;0.4092616258991564;0.30199494633611995;0.25159759657312664;0.20041631695700987;0.30735849124697395;0.3494506948424051
404;0.24779281787160332;0.09300532723125231;0.2842318301302177;0.4524332531027951;0.26096711108575726;0.23419522793989478;0.16055961257521467;0.2573189808131437;0.3225566559659495
411;0.18724927487320414;0.10427865748055791;0.25710951792226355;0.43951095116875016;0.2970290319762585;0.3384265842544987;0.14627214802446636;0.29204499683803775;0.43815089291532655
426;0.22738546827506162;0.1844617912857623;0.20022702893244987;0.3651094470150034;0.29881275790002715;0.43874475922079487;0.17581368163551536;0.3869487263582093;0.34652457146055393
431;0.2765935971076269;0.09765808741057615;0.12256749471940775;0.08144821015657977;0.2868299000886212;0.12186206981736343;0.15607553114246034;0.2569492279897708;0.42693390392611325
